date,fragility_prob,recovery_prob,action,ext_scale,recovery_override_scale,rel_tilt,stress_thr,recovery_thr,prob_trigger,recovery_prob_trigger,chop,fold
2023-10-06,0.3307991744160651,0.04455307865396455,BASELINE,1.0,0.0,,7.240074950644641,7.963183554794965,0.65,0.6,1,4
2023-10-13,0.41825145090552757,0.012477888575955717,BASELINE,1.0,0.0,,7.240074950644641,7.963183554794965,0.65,0.6,0,4
2023-10-20,0.41779413791584985,0.06155657351607019,BASELINE,1.0,0.0,,7.240074950644641,7.963183554794965,0.65,0.6,0,4
2023-10-27,0.3302571769587364,0.10756387729170998,BASELINE,1.0,0.0,,7.240074950644641,7.963183554794965,0.65,0.6,0,4
2023-11-03,0.32319766211328604,0.0875231753506322,BASELINE,1.0,0.0,,7.240074950644641,7.963183554794965,0.65,0.6,0,4
2023-11-10,0.3568829393104042,0.026778240424137616,BASELINE,1.0,0.0,,7.240074950644641,7.963183554794965,0.65,0.6,0,4
2023-11-17,0.5035016712667466,0.009427611611966612,BASELINE,1.0,0.0,,7.240074950644641,7.963183554794965,0.65,0.6,0,4
2023-11-24,0.5799137030478188,0.0030819672131147543,BASELINE,1.0,0.0,,7.240074950644641,7.963183554794965,0.65,0.6,0,4
2023-12-01,0.5568899841260065,0.00201071155317521,BASELINE,1.0,0.0,,7.240074950644641,7.963183554794965,0.65,0.6,0,4
2023-12-08,0.5484652326315281,0.0040485794152701725,BASELINE,1.0,0.0,,7.240074950644641,7.963183554794965,0.65,0.6,0,4
2023-12-15,0.5543049410699512,0.0,BASELINE,1.0,0.0,,7.240074950644641,7.963183554794965,0.65,0.6,0,4
2023-12-22,0.6080063588740794,0.0,BASELINE,1.0,0.0,,7.240074950644641,7.963183554794965,0.65,0.6,0,4
2023-12-29,0.6147723798538817,0.0,BASELINE,1.0,0.0,,7.240074950644641,7.963183554794965,0.65,0.6,0,4
2024-01-05,0.5569392911603882,0.0,BASELINE,1.0,0.0,,7.240074950644641,7.963183554794965,0.65,0.6,0,4
2024-01-12,0.578134929884655,0.0030359212050984938,BASELINE,1.0,0.0,,7.240074950644641,7.963183554794965,0.65,0.6,0,4
2024-01-19,0.5972049817691328,0.003551401869158879,BASELINE,1.0,0.0,,7.240074950644641,7.963183554794965,0.65,0.6,0,4
2024-01-26,0.59522971207949,0.003551401869158879,BASELINE,1.0,0.0,,7.240074950644641,7.963183554794965,0.65,0.6,0,4
2024-02-02,0.5712032116896126,0.0,BASELINE,1.0,0.0,,7.240074950644641,7.963183554794965,0.65,0.6,0,4
2024-02-09,0.6103417872476721,0.0,BASELINE,1.0,0.0,,7.240074950644641,7.963183554794965,0.65,0.6,0,4
