weight_cap,k_atr,turb_zscore_thr,turb_scale_min,vol_target_ann,fold,score_val,VAL_Sharpe,VAL_CAGR%,VAL_MaxDD%,VAL_SR_tstat,p_value,q_value,significant_5pct,significant_10pct,SR_above_HLZ_tmin,stat_label
0.55,2.5,1.5,0.25,0.3,3,-0.3618048285897657,1.1499,24.392,-17.823,1.626,0.10401,0.871196,False,False,False,econ_strong_stat_weak
0.55,2.5,1.5,0.25,0.35,3,-0.36240696725198723,1.15,24.706,-18.367,1.626,0.10397,0.871196,False,False,False,econ_strong_stat_weak
0.65,2.5,1.5,0.25,0.35,3,-0.3748309148106139,1.1384,24.418,-18.442,1.61,0.1075,0.871196,False,False,False,econ_strong_stat_weak
0.65,2.5,1.5,0.25,0.3,3,-0.37616135569261716,1.1369,24.022,-17.856,1.607,0.10798,0.871196,False,False,False,econ_strong_stat_weak
0.55,2.5,1.0,0.25,0.3,3,-0.3840967274740364,1.1352,23.225,-17.28,1.605,0.10851,0.871196,False,False,False,econ_strong_stat_weak
0.55,2.5,1.0,0.25,0.35,3,-0.3875377402963373,1.1336,23.411,-17.783,1.603,0.109,0.871196,False,False,False,econ_strong_stat_weak
0.65,2.5,1.0,0.25,0.3,3,-0.39758247858128926,1.1227,22.887,-17.307,1.587,0.11243,0.871196,False,False,False,econ_strong_stat_weak
0.65,2.5,1.0,0.25,0.35,3,-0.3983686308467782,1.1235,23.169,-17.853,1.588,0.1122,0.871196,False,False,False,econ_strong_stat_weak
0.55,3.0,1.5,0.4,0.25,3,-0.4125907387968512,1.0906,22.166,-16.33,1.542,0.12306,0.871196,False,False,False,econ_strong_stat_weak
0.55,3.0,1.0,0.4,0.25,3,-0.41411355989066684,1.0909,21.712,-15.777,1.543,0.12295,0.871196,False,False,False,econ_strong_stat_weak
0.65,3.0,1.0,0.4,0.25,3,-0.42599254721045987,1.0815,21.459,-15.917,1.529,0.12622,0.871196,False,False,False,econ_strong_stat_weak
